Time,Enemy Position,Fuel Level,Altitude,Tactical State
0,0.0000,0.0000,0.9994,Patrol
1,0.0000,0.0000,0.9994,Patrol
2,0.0000,0.9994,0.6062,Patrol
3,0.0000,0.9994,0.3677,Patrol
4,0.9994,0.6062,0.2230,Patrol
5,0.6062,0.3677,0.9994,Patrol
6,0.3677,0.2230,0.9994,Patrol
7,0.2230,0.1353,0.9994,Patrol
8,0.1353,0.0820,0.9994,Patrol
9,0.9994,0.0498,0.6062,Patrol
10,0.6062,0.0302,0.9994,Patrol
11,0.3677,0.9994,0.6062,Patrol
12,0.2230,0.6062,0.9994,Patrol
13,0.1353,0.9994,0.6062,Patrol
14,0.0820,0.9994,0.3677,Patrol
15,0.9994,0.6062,0.2230,Patrol
16,0.6062,0.3677,0.9994,Patrol
17,0.3677,0.2230,0.9994,Patrol
18,0.2230,0.1353,0.9994,Patrol
19,0.1353,0.0820,0.9994,Patrol
20,0.9994,0.0498,0.6062,Targeting
21,0.9994,0.0302,0.3677,Targeting
22,0.9994,0.0183,0.2230,Targeting
23,0.9994,0.0111,0.1353,Targeting
24,0.9994,0.0067,0.0820,Targeting
25,0.6062,0.9994,0.0498,Targeting
26,0.3677,0.9994,0.0302,Targeting
27,0.2230,0.9994,0.0183,Targeting
28,0.9994,0.6062,0.0111,Targeting
29,0.9994,0.3677,0.0067,Targeting
30,0.9994,0.2230,0.0041,Targeting
31,0.9994,0.1353,0.0025,Targeting
32,0.6062,0.0820,0.9994,Targeting
33,0.9994,0.0498,0.6062,Targeting
34,0.6062,0.0302,0.9994,Targeting
35,0.9994,0.0183,0.6062,Targeting
36,0.9994,0.0111,0.3677,Targeting
37,0.9994,0.0067,0.2230,Targeting
38,0.6062,0.9994,0.1353,Targeting
39,0.3677,0.9994,0.0820,Targeting
40,0.2230,0.6062,0.9994,Targeting
41,0.1353,0.3677,0.9994,Targeting
42,0.0820,0.2230,0.9994,Targeting
43,0.0498,0.9994,0.6062,Targeting
44,0.9994,0.6062,0.3677,Targeting
45,0.9994,0.3677,0.2230,Engage
46,0.9994,0.2230,0.1353,Engage
47,0.9994,0.1353,0.0820,Engage
48,0.9994,0.0820,0.0498,Engage
49,0.9994,0.0498,0.0302,Engage
50,0.9994,0.0302,0.0183,Engage
51,0.9994,0.0183,0.0111,Engage
52,0.9994,0.0111,0.0067,Engage
53,0.9994,0.0067,0.0041,Engage
54,0.6062,0.9994,0.0025,Engage
55,0.9994,0.6062,0.0015,Engage
56,0.9994,0.3677,0.0009,Engage
57,0.9994,0.2230,0.0006,Engage
58,0.6062,0.1353,0.9994,Engage
59,0.3677,0.0820,0.9994,Engage
60,0.9994,0.0498,0.6062,Engage
61,0.9994,0.0302,0.3677,Engage
62,0.9994,0.0183,0.2230,Engage
63,0.9994,0.0111,0.1353,Engage
64,0.9994,0.0067,0.0820,Engage
65,0.9994,0.0041,0.0498,Engage
66,0.6062,0.9994,0.0302,Engage
67,0.9994,0.6062,0.0183,Engage
68,0.9994,0.3677,0.0111,Engage
69,0.9994,0.2230,0.0067,Engage
70,0.6062,0.9994,0.0041,Evade
71,0.3677,0.9994,0.0025,Evade
72,0.2230,0.6062,0.9994,Evade
73,0.1353,0.9994,0.6062,Evade
74,0.0820,0.6062,0.9994,Evade
75,0.9994,0.3677,0.6062,Evade
76,0.9994,0.2230,0.3677,Evade
77,0.6062,0.1353,0.9994,Evade
78,0.3677,0.0820,0.9994,Evade
79,0.9994,0.0498,0.6062,Evade
80,0.6062,0.9994,0.3677,Evade
81,0.3677,0.6062,0.9994,Evade
82,0.9994,0.3677,0.6062,Evade
83,0.6062,0.9994,0.3677,Evade
84,0.3677,0.6062,0.9994,Evade
85,0.9994,0.3677,0.6062,Evade
86,0.6062,0.9994,0.3677,Evade
87,0.3677,0.6062,0.9994,Evade
88,0.2230,0.3677,0.9994,Evade
89,0.1353,0.9994,0.6062,Evade
90,0.9994,0.6062,0.3677,Evade
91,0.9994,0.3677,0.2230,Evade
92,0.9994,0.2230,0.1353,Evade
93,0.6062,0.1353,0.9994,Evade
94,0.9994,0.0820,0.6062,Evade
95,0.9994,0.0498,0.3677,Evade
96,0.6062,0.0302,0.9994,Evade
97,0.3677,0.9994,0.6062,Evade
98,0.9994,0.6062,0.3677,Evade
99,0.6062,0.9994,0.2230,Evade
