Time,Aircraft1_Closest,Aircraft1_Fuel,Aircraft1_Altitude,Aircraft1_State,Aircraft2_Closest,Aircraft2_Fuel,Aircraft2_Altitude,Aircraft2_State
0,0.1129,0.0000,0.0000,Cruising,0.0000,0.0000,0.1129,Cruising
1,0.1120,0.0000,0.1129,Cruising,0.0000,0.0000,0.2131,Cruising
2,0.1111,0.1129,0.1120,Cruising,0.1129,0.0000,0.2114,Cruising
3,0.1102,0.2131,0.1111,Cruising,0.1120,0.0000,0.3004,Cruising
4,0.1094,0.2114,0.2115,Cruising,0.1111,0.1129,0.2981,Cruising
5,0.1085,0.2097,0.3005,Cruising,0.1102,0.1120,0.3773,Cruising
6,0.1076,0.2990,0.2981,Cruising,0.1094,0.1111,0.4476,Cruising
7,0.1068,0.2966,0.3774,Cruising,0.1085,0.2115,0.4441,Cruising
8,0.2076,0.2942,0.3744,Cruising,0.1076,0.3005,0.4405,Cruising
9,0.2060,0.2919,0.4450,Cruising,0.1068,0.2981,0.5037,Cruising
10,0.2043,0.3718,0.4415,Cruising,0.1059,0.3774,0.4997,Cruising
11,0.2027,0.3689,0.5046,Cruising,0.1051,0.3744,0.5562,Cruising
12,0.2927,0.3659,0.5005,Cruising,0.1042,0.4450,0.5518,Cruising
13,0.2904,0.3630,0.5569,Cruising,0.1034,0.5077,0.5474,Cruising
14,0.2881,0.3601,0.6070,Cruising,0.2047,0.5037,0.5430,Cruising
15,0.3685,0.3573,0.6021,Cruising,0.2030,0.5597,0.5387,Cruising
16,0.3656,0.4298,0.5973,Cruising,0.2014,0.5553,0.5908,Cruising
17,0.3626,0.4942,0.5926,Cruising,0.2916,0.5508,0.5861,Cruising
18,0.4346,0.4903,0.5879,Cruising,0.2893,0.6016,0.5814,Cruising
19,0.4985,0.4864,0.5832,Cruising,0.3695,0.5968,0.5768,Cruising
20,0.4945,0.5444,0.5785,Cruising,0.3666,0.6423,0.5722,Cruising
21,0.4905,0.5400,0.6261,Cruising,0.3637,0.6827,0.5676,Cruising
22,0.5481,0.5357,0.6211,Cruising,0.3608,0.7185,0.5631,Cruising
23,0.5437,0.5882,0.6162,Cruising,0.4329,0.7128,0.5586,Cruising
24,0.5394,0.6347,0.6113,Cruising,0.4295,0.7452,0.5541,Cruising
25,0.5914,0.6296,0.6064,Cruising,0.4261,0.7740,0.5497,Cruising
26,0.5867,0.6714,0.6016,Cruising,0.4227,0.7678,0.6006,Cruising
27,0.5820,0.6661,0.6466,Cruising,0.4879,0.7617,0.5958,Cruising
28,0.6292,0.6608,0.6414,Cruising,0.4840,0.7886,0.5910,Cruising
29,0.6711,0.6555,0.6363,Cruising,0.4801,0.7823,0.6372,Cruising
30,0.6657,0.6503,0.6774,Cruising,0.5388,0.7761,0.6321,Cruising
31,0.6604,0.6898,0.6720,Cruising,0.5345,0.7699,0.6737,Cruising
32,0.6988,0.6843,0.6666,Cruising,0.5303,0.7959,0.6683,Cruising
33,0.6932,0.6788,0.7043,Cruising,0.5261,0.8189,0.6630,Cruising
34,0.6877,0.7151,0.6987,Cruising,0.5219,0.8394,0.6577,Cruising
35,0.7229,0.7094,0.6931,Cruising,0.5177,0.8327,0.6964,Cruising
36,0.7172,0.7422,0.6876,Cruising,0.5136,0.8261,0.7306,Cruising
37,0.7491,0.7363,0.6821,Cruising,0.5095,0.8457,0.7248,Cruising
38,0.7775,0.7304,0.6767,Cruising,0.5054,0.8631,0.7191,Cruising
39,0.8026,0.7246,0.6713,Cruising,0.5014,0.8563,0.7508,Cruising
40,0.7962,0.7188,0.7084,Cruising,0.4974,0.8494,0.7789,Cruising
41,0.8192,0.7131,0.7027,Cruising,0.5542,0.8427,0.7727,Cruising
42,0.8396,0.7074,0.6971,Cruising,0.6045,0.8359,0.7666,Cruising
43,0.8577,0.7018,0.6916,Cruising,0.5997,0.8293,0.7929,Cruising
44,0.8738,0.6962,0.6861,Cruising,0.5949,0.8227,0.8163,Cruising
45,0.8668,0.6907,0.7215,Cruising,0.6407,0.8161,0.8098,Cruising
46,0.8599,0.6852,0.7530,Cruising,0.6356,0.8369,0.8033,Cruising
47,0.8757,0.6797,0.7470,Cruising,0.6767,0.8302,0.7969,Cruising
48,0.8898,0.6743,0.7410,Cruising,0.6713,0.8236,0.8199,Cruising
49,0.9022,0.6689,0.7351,Cruising,0.6660,0.8170,0.8402,Cruising
50,0.9133,0.6636,0.7293,Cruising,0.6607,0.8377,0.8335,Cruising
51,0.9060,0.6583,0.7598,Cruising,0.6554,0.8560,0.8269,Cruising
52,0.8988,0.6969,0.7538,Cruising,0.6502,0.8492,0.8464,Cruising
53,0.8916,0.7311,0.7478,Cruising,0.6450,0.8662,0.8397,Cruising
54,0.8845,0.7253,0.7763,Cruising,0.6399,0.8593,0.8578,Cruising
55,0.8775,0.7195,0.8015,Cruising,0.6805,0.8525,0.8510,Cruising
56,0.8705,0.7138,0.8239,Cruising,0.7166,0.8457,0.8442,Cruising
57,0.8851,0.7081,0.8174,Cruising,0.7109,0.8631,0.8374,Cruising
58,0.8780,0.7410,0.8109,Cruising,0.7052,0.8562,0.8558,Cruising
59,0.8918,0.7351,0.8044,Cruising,0.6996,0.8725,0.8490,Cruising
60,0.9040,0.7293,0.7980,Cruising,0.6940,0.8655,0.8660,Cruising
61,0.8968,0.7599,0.7916,Cruising,0.6885,0.8807,0.8591,Cruising
62,0.9085,0.7538,0.7853,Cruising,0.6830,0.8942,0.8523,Cruising
