Time,Enemy Position,Fuel Level,Altitude,Tactical State
0,0.0000,0.0000,0.9994,Patrol
1,0.0000,0.0000,0.9994,Patrol
2,0.0000,0.0000,0.9994,Patrol
3,0.0000,0.9994,0.6062,Patrol
4,0.0000,0.6062,0.9994,Patrol
5,0.0000,0.3677,0.9994,Patrol
6,0.0000,0.2230,0.9994,Patrol
7,0.0000,0.9994,0.6062,Patrol
8,0.0000,0.6062,0.9994,Patrol
9,0.9994,0.3677,0.6062,Patrol
10,0.9994,0.2230,0.3677,Patrol
11,0.6062,0.1353,0.9994,Patrol
12,0.3677,0.9994,0.6062,Patrol
13,0.9994,0.6062,0.3677,Patrol
14,0.9994,0.3677,0.2230,Patrol
15,0.6062,0.2230,0.9994,Patrol
16,0.9994,0.1353,0.6062,Patrol
17,0.6062,0.0820,0.9994,Patrol
18,0.3677,0.0498,0.9994,Patrol
19,0.9994,0.0302,0.6062,Patrol
20,0.9994,0.0183,0.3677,Patrol
21,0.6062,0.0111,0.9994,Patrol
22,0.3677,0.0067,0.9994,Patrol
23,0.2230,0.0041,0.9994,Patrol
24,0.1353,0.9994,0.6062,Patrol
25,0.0820,0.9994,0.3677,Patrol
26,0.0498,0.6062,0.9994,Patrol
27,0.0302,0.3677,0.9994,Patrol
28,0.0183,0.2230,0.9994,Patrol
29,0.9994,0.1353,0.6062,Patrol
30,0.6062,0.0820,0.9994,Patrol
31,0.3677,0.9994,0.6062,Patrol
32,0.9994,0.6062,0.3677,Patrol
33,0.6062,0.9994,0.2230,Patrol
34,0.3677,0.9994,0.1353,Patrol
35,0.2230,0.6062,0.9994,Targeting
36,0.9994,0.3677,0.6062,Targeting
37,0.9994,0.2230,0.3677,Targeting
38,0.6062,0.9994,0.2230,Targeting
39,0.9994,0.6062,0.1353,Targeting
40,0.6062,0.9994,0.0820,Targeting
41,0.3677,0.9994,0.0498,Targeting
42,0.9994,0.6062,0.0302,Targeting
43,0.6062,0.9994,0.0183,Targeting
44,0.9994,0.6062,0.0111,Engage-Closing
45,0.6062,0.9994,0.0067,Engage-Closing
46,0.9994,0.6062,0.0041,Targeting
47,0.9994,0.3677,0.0025,Engage-Closing
48,0.6062,0.9994,0.0015,Engage-Closing
49,0.9994,0.6062,0.0009,Engage-Closing
50,0.6062,0.3677,0.9994,Engage-Closing
51,0.9994,0.2230,0.6062,Engage-Closing
52,0.6062,0.1353,0.9994,Engage-Closing
53,0.9994,0.0820,0.6062,Engage-Closing
54,0.9994,0.0498,0.3677,Engage-Closing
55,0.6062,0.0302,0.9994,Engage-Closing
56,0.3677,0.0183,0.9994,Engage-Closing
57,0.9994,0.0111,0.6062,Engage-Closing
58,0.9994,0.0067,0.3677,Engage-Firing
59,0.9994,0.0041,0.2230,Engage-Firing
60,0.9994,0.0025,0.1353,Engage-Firing
61,0.9994,0.0015,0.0820,Engage-Firing
62,0.9994,0.0009,0.0498,Engage-Firing
63,0.9994,0.0006,0.0302,Engage-Firing
64,0.9994,0.0003,0.0183,Engage-Firing
65,0.9994,0.0002,0.0111,Engage-Firing
66,0.9994,0.0001,0.0067,Engage-Firing
67,0.9994,0.0001,0.0041,Engage-Firing
68,0.9994,0.0000,0.0025,Engage-Firing
69,0.9994,0.0000,0.0015,Engage-Firing
70,0.6062,0.9994,0.0009,Evade
71,0.3677,0.9994,0.0006,Evade
72,0.9994,0.6062,0.0003,Evade
73,0.6062,0.3677,0.9994,Evade
74,0.3677,0.2230,0.9994,Evade
75,0.2230,0.1353,0.9994,Evade
76,0.1353,0.9994,0.6062,Evade
77,0.9994,0.6062,0.3677,Evade
78,0.6062,0.3677,0.9994,Evade
79,0.3677,0.2230,0.9994,Evade
80,0.2230,0.1353,0.9994,Evade
81,0.1353,0.9994,0.6062,Evade
82,0.0820,0.9994,0.3677,Evade
83,0.0498,0.9994,0.2230,Evade
84,0.0302,0.6062,0.9994,Evade
85,0.0183,0.3677,0.9994,Evade
86,0.0111,0.2230,0.9994,Evade
87,0.0067,0.1353,0.9994,Evade
88,0.0041,0.0820,0.9994,Evade
89,0.0025,0.0498,0.9994,Evade
90,0.0015,0.0302,0.9994,Evade
91,0.0009,0.9994,0.6062,Evade
92,0.0006,0.9994,0.3677,Evade
93,0.0003,0.6062,0.9994,Evade
94,0.0002,0.3677,0.9994,Evade
95,0.0001,0.9994,0.6062,Evade
96,0.0001,0.9994,0.3677,Evade
97,0.0000,0.9994,0.2230,Evade
98,0.0000,0.6062,0.9994,Evade
99,0.9994,0.3677,0.6062,Evade
